scheme,comparison_pool,entity_name,weighted_mean,weighted_std,generalization_score,final_rank
paper_default,single,Variance of Gradient,0.13583364384880575,0.02392681831006833,0.10226159618718453,1
paper_default,single,Gradient Squared Energy,0.13915487868463056,0.028107452771415,0.10584065091066588,2
paper_default,single,Squared Gradient,0.13918105052278149,0.028145028497924437,0.10587024391532437,3
paper_default,single,Energy of Gradient,0.1410750336329921,0.026882286076689625,0.10681720936610134,4
paper_default,single,Tenengrad,0.1411895214830564,0.026887483251447908,0.10689891001357385,5
paper_default,single,Brenner Gradient,0.14397310124626977,0.029721814374587333,0.10969771518476504,6
paper_default,single,Modified Tenengrad,0.15429722377994481,0.029412030169846937,0.11683166569691544,7
paper_default,single,Fourier Transform Sharpness Index,0.1636040944454698,0.045672961885586484,0.1282247546775048,8
paper_default,single,Roberts Focus Measure,0.17779966761109434,0.04919676618288188,0.13921879718263058,9
paper_default,single,DCT Focus Measure,0.2004518600126018,0.03829024891561896,0.15180337668350694,10
paper_default,single,Spatial Frequency,0.19717587389591795,0.05419363776205986,0.1542812030557605,11
paper_default,single,Wavelet W1,0.22762763119409424,0.06695297470990694,0.17942523424883805,12
paper_default,single,Wavelet Detail Energy (db1),0.2276773324824014,0.06701118863673854,0.17947748932870253,13
paper_default,single,Curvelet Transform Sharpness Index,0.22789944745099194,0.0669805951367648,0.17962379175672377,14
paper_default,single,Wavelet W3,0.22883360116223952,0.06700531622554742,0.18028511568123187,15
paper_default,single,Wavelet W2,0.23038320973320728,0.06540376239920788,0.18088937553300746,16
paper_default,single,Normalized Variance,0.24698813335280498,0.10391423458294965,0.20406596372184838,17
paper_default,single,Absolute Central Moment 4,0.24809017703992964,0.10532336797542638,0.20526013432057866,18
paper_default,single,Intensity Variance,0.2517098695263887,0.10785118728820893,0.20855226485493475,19
paper_default,single,Absolute Central Moment 2,0.2519467995553325,0.10777646818669298,0.20869570014474065,20
paper_default,single,Fourier High Frequency Energy Ratio,0.2590178368493388,0.10876586672737384,0.21394224581274932,21
paper_default,single,Intensity Range Index,0.30807193245069264,0.073223810363982,0.23761749582467942,22
paper_default,single,Sum Modified Laplacian,0.32338008433097404,0.1355734396920007,0.267038090939282,23
paper_default,single,Variance of Laplacian,0.327978338347132,0.1410151167804897,0.27188937187713935,24
paper_default,single,Laplacian Energy,0.3339695706747013,0.14122295014434266,0.2761455845155937,25
paper_default,single,Image Power,0.354837897189288,0.11406292687305138,0.282605406094417,26
paper_default,single,Mean Absolute Laplacian,0.35705847646809974,0.13584082299688213,0.2906931804267344,27
paper_default,single,Mean Intensity,0.40574142482553077,0.08404600787978919,0.3092327997418083,28
paper_default,single,GLCM Contrast,0.407543811397431,0.16236461100227914,0.3339900512788854,29
paper_default,single,Intensity Skewness Index,0.42693392550004056,0.13062464733169848,0.33804114204953795,30
paper_default,single,Maximal Intensity,0.43015385488887764,0.14393991807046985,0.3442896738433553,31
paper_default,single,Histogram Entropy,0.4283391876712115,0.14996561448956947,0.34482711571671887,32
runtime_005_redistributed,single,Variance of Gradient,0.14247803970813494,0.025240190776732355,0.10730668502871415,1
runtime_005_redistributed,single,Gradient Squared Energy,0.1463039718471432,0.02959566275624656,0.11129147911987419,2
runtime_005_redistributed,single,Squared Gradient,0.14631705776621867,0.029614577201174937,0.11130631359670555,3
runtime_005_redistributed,single,Energy of Gradient,0.14833301325095433,0.02834573121269143,0.11233682863947546,4
runtime_005_redistributed,single,Tenengrad,0.1483902571759865,0.028348325171916697,0.11237767757476555,5
runtime_005_redistributed,single,Brenner Gradient,0.15170556204276883,0.031344385299083226,0.11559720901966315,6
runtime_005_redistributed,single,Modified Tenengrad,0.1533059373831292,0.03035007341630286,0.11641917819308129,7
runtime_005_redistributed,single,Fourier Transform Sharpness Index,0.1674067008890399,0.04786499715949665,0.13154418977017693,8
runtime_005_redistributed,single,Roberts Focus Measure,0.18706131187140523,0.051840444283950224,0.14649505159516873,9
runtime_005_redistributed,single,DCT Focus Measure,0.2094298982986349,0.04030679438919885,0.15869296712580405,10
runtime_005_redistributed,single,Spatial Frequency,0.20733076599375827,0.057040711454266105,0.1622437496319106,11
runtime_005_redistributed,single,Wavelet W1,0.23591557870970228,0.0699855368447036,0.18613656615020266,12
runtime_005_redistributed,single,Wavelet Detail Energy (db1),0.23594039912304668,0.07001729492940804,0.18616346786495508,13
runtime_005_redistributed,single,Curvelet Transform Sharpness Index,0.23605145660734198,0.06999584036901092,0.18623477173584266,14
runtime_005_redistributed,single,Wavelet W3,0.23651856369377494,0.07001073014715643,0.18656621362978937,15
runtime_005_redistributed,single,Wavelet W2,0.2372933679792588,0.06922141393520287,0.18687178176604202,16
runtime_005_redistributed,single,Absolute Central Moment 4,0.25899677415130684,0.11117893309422418,0.21465142183418204,17
runtime_005_redistributed,single,Normalized Variance,0.26034875127062534,0.10970494310653056,0.2151556088213969,18
runtime_005_redistributed,single,Intensity Variance,0.2653240691469555,0.11385944303332905,0.21988468131286756,19
runtime_005_redistributed,single,Absolute Central Moment 2,0.26544253416142743,0.11382201025797027,0.21995637699039028,20
runtime_005_redistributed,single,Fourier High Frequency Energy Ratio,0.26769180093458117,0.11407315109413313,0.22160620598244674,21
runtime_005_redistributed,single,Intensity Range Index,0.3250776306142245,0.07729291529964147,0.2507422160198496,22
runtime_005_redistributed,single,Sum Modified Laplacian,0.3401836258136319,0.14288323564221606,0.28099350876220713,23
runtime_005_redistributed,single,Variance of Laplacian,0.34575620707494964,0.14884295466525882,0.2866822313520424,24
runtime_005_redistributed,single,Laplacian Energy,0.34825290357929856,0.14849107275066564,0.2883243543307087,25
runtime_005_redistributed,single,Image Power,0.3743720235537532,0.12036450368898544,0.2981697675943229,26
runtime_005_redistributed,single,Mean Absolute Laplacian,0.37263764659514076,0.142851560972426,0.3037018209083263,27
runtime_005_redistributed,single,GLCM Contrast,0.3746295786982985,0.17138486716805934,0.31365616523922674,28
runtime_005_redistributed,single,Mean Intensity,0.4282613498150811,0.08873072237335017,0.32640216158256186,29
runtime_005_redistributed,single,Intensity Skewness Index,0.4484377618845105,0.1377974866460418,0.3552456793129699,30
runtime_005_redistributed,single,Histogram Entropy,0.450942094077237,0.15828728971020978,0.36314565276712885,31
runtime_005_redistributed,single,Maximal Intensity,0.4540337365862336,0.1519340950793894,0.3634038441341803,32
runtime_005_to_accuracy,single,Variance of Gradient,0.13584349763706868,0.02352297763351851,0.10214734163600363,1
runtime_005_to_accuracy,single,Gradient Squared Energy,0.13878241068492506,0.02811519730550244,0.10558224667109826,2
runtime_005_to_accuracy,single,Squared Gradient,0.1387954966040005,0.028133500349872484,0.1055968977277621,3
runtime_005_to_accuracy,single,Energy of Gradient,0.14118558946410684,0.026662164412594412,0.1068285619486531,4
runtime_005_to_accuracy,single,Tenengrad,0.14124283338913898,0.02666516852401166,0.10686953392960079,5
runtime_005_to_accuracy,single,Brenner Gradient,0.14426297890467077,0.02913483205127447,0.10972453484865187,6
runtime_005_to_accuracy,single,Modified Tenengrad,0.1458936450100965,0.028839765386979938,0.11077748112316152,7
runtime_005_to_accuracy,single,Fourier Transform Sharpness Index,0.15935194766892913,0.04495685144653806,0.1250334188022118,8
runtime_005_to_accuracy,single,Roberts Focus Measure,0.18321338839115806,0.05879197418057224,0.1458869641279823,9
runtime_005_to_accuracy,single,DCT Focus Measure,0.20463404901719426,0.04406219924949277,0.15646249408688379,10
runtime_005_to_accuracy,single,Spatial Frequency,0.203960785309948,0.06622000952923954,0.16263855257573542,11
runtime_005_to_accuracy,single,Wavelet W1,0.23494160848430226,0.08241914950982214,0.18918487079195823,12
runtime_005_to_accuracy,single,Wavelet Detail Energy (db1),0.23496643192072753,0.08245940179266231,0.18921432288230794,13
runtime_005_to_accuracy,single,Curvelet Transform Sharpness Index,0.23507748940502282,0.08244707475216416,0.18928836500916524,14
runtime_005_to_accuracy,single,Wavelet W3,0.23554459346837492,0.08245714103697552,0.1896183577389551,15
runtime_005_to_accuracy,single,Wavelet W2,0.23631939775385877,0.08171305640041726,0.18993749534782634,16
runtime_005_to_accuracy,single,Absolute Central Moment 4,0.25253186105917036,0.10836050499451229,0.20928045423977293,17
runtime_005_to_accuracy,single,Normalized Variance,0.2542319891443371,0.1089549658337072,0.21064888215114813,18
runtime_005_to_accuracy,single,Intensity Variance,0.25801833469506397,0.11215423914833166,0.21425910603104426,19
