protocol,dataset_scope,held_out_dataset,evaluation_dataset,seed,train_datasets,heldout_score,all_dataset_score,all_dataset_score_std,best_training_objective,best_complexity,num_nodes,tree_height,best_expression,terminals,result_json
lodo,PBS,PBS,,42,WBC | TBI | BMA | TBF,0.3056464945707504,,,0.17697844980657843,25.0,25,7,"add(psqrt(Fourier_Transform_Sharpness_Index), mul(mul(Curvelet_Transform_Sharpness_Index, mul(Squared_Gradient, Squared_Gradient)), mul(mul(Gradient_Squared_Energy, mul(mul(psqrt(Fourier_Transform_Sharpness_Index), mul(Curvelet_Transform_Sharpness_Index, Fourier_Transform_Sharpness_Index)), mul(Curvelet_Transform_Sharpness_Index, mul(Fourier_Transform_Sharpness_Index, Squared_Gradient)))), Sum_Modified_Laplacian)))",Gradient Squared Energy | Fourier Transform Sharpness Index | Wavelet W1 | Curvelet Transform Sharpness Index | Sum Modified Laplacian | Intensity Skewness Index | GLCM Contrast | Squared Gradient | Wavelet W3 | Fourier High Frequency Energy Ratio,outputs/05_gp_runs/folds/heldout_PBS/seed_42/best_result.json
lodo,PBS,PBS,,43,WBC | TBI | BMA | TBF,0.2956922326750924,,,0.17820042970937194,11.0,11,4,"add(mul(mul(Fourier_Transform_Sharpness_Index, Curvelet_Transform_Sharpness_Index), mul(mul(Fourier_Transform_Sharpness_Index, Curvelet_Transform_Sharpness_Index), GLCM_Contrast)), Fourier_Transform_Sharpness_Index)",Gradient Squared Energy | Fourier Transform Sharpness Index | Wavelet W1 | Curvelet Transform Sharpness Index | Sum Modified Laplacian | Intensity Skewness Index | GLCM Contrast | Squared Gradient | Wavelet W3 | Fourier High Frequency Energy Ratio,outputs/05_gp_runs/folds/heldout_PBS/seed_43/best_result.json
lodo,PBS,PBS,,44,WBC | TBI | BMA | TBF,0.2956922330544116,,,0.17820042963287205,11.0,11,5,"add(mul(mul(mul(Fourier_Transform_Sharpness_Index, mul(GLCM_Contrast, Fourier_Transform_Sharpness_Index)), Curvelet_Transform_Sharpness_Index), Curvelet_Transform_Sharpness_Index), Fourier_Transform_Sharpness_Index)",Gradient Squared Energy | Fourier Transform Sharpness Index | Wavelet W1 | Curvelet Transform Sharpness Index | Sum Modified Laplacian | Intensity Skewness Index | GLCM Contrast | Squared Gradient | Wavelet W3 | Fourier High Frequency Energy Ratio,outputs/05_gp_runs/folds/heldout_PBS/seed_44/best_result.json
lodo,PBS,PBS,,45,WBC | TBI | BMA | TBF,0.32147725862740645,,,0.175686409216886,16.0,16,5,"add(mul(mul(mul(mul(GLCM_Contrast, Curvelet_Transform_Sharpness_Index), psqrt(Intensity_Skewness_Index)), Fourier_Transform_Sharpness_Index), add(mul(GLCM_Contrast, Curvelet_Transform_Sharpness_Index), GLCM_Contrast)), Fourier_Transform_Sharpness_Index)",Gradient Squared Energy | Fourier Transform Sharpness Index | Wavelet W1 | Curvelet Transform Sharpness Index | Sum Modified Laplacian | Intensity Skewness Index | GLCM Contrast | Squared Gradient | Wavelet W3 | Fourier High Frequency Energy Ratio,outputs/05_gp_runs/folds/heldout_PBS/seed_45/best_result.json
lodo,PBS,PBS,,46,WBC | TBI | BMA | TBF,0.32375813190779307,,,0.18552060313973126,9.0,9,3,"mul(Fourier_Transform_Sharpness_Index, add(add(Intensity_Skewness_Index, GLCM_Contrast), add(Fourier_Transform_Sharpness_Index, Curvelet_Transform_Sharpness_Index)))",Gradient Squared Energy | Fourier Transform Sharpness Index | Wavelet W1 | Curvelet Transform Sharpness Index | Sum Modified Laplacian | Intensity Skewness Index | GLCM Contrast | Squared Gradient | Wavelet W3 | Fourier High Frequency Energy Ratio,outputs/05_gp_runs/folds/heldout_PBS/seed_46/best_result.json
lodo,PBS,PBS,,47,WBC | TBI | BMA | TBF,0.2956922327715311,,,0.17820042952191564,11.0,11,4,"add(Fourier_Transform_Sharpness_Index, mul(mul(Fourier_Transform_Sharpness_Index, Curvelet_Transform_Sharpness_Index), mul(GLCM_Contrast, mul(Fourier_Transform_Sharpness_Index, Curvelet_Transform_Sharpness_Index))))",Gradient Squared Energy | Fourier Transform Sharpness Index | Wavelet W1 | Curvelet Transform Sharpness Index | Sum Modified Laplacian | Intensity Skewness Index | GLCM Contrast | Squared Gradient | Wavelet W3 | Fourier High Frequency Energy Ratio,outputs/05_gp_runs/folds/heldout_PBS/seed_47/best_result.json
lodo,PBS,PBS,,48,WBC | TBI | BMA | TBF,0.2978205815417335,,,0.17325244221316505,33.0,33,9,"add(add(add(Fourier_Transform_Sharpness_Index, Wavelet_W1), sub(Fourier_Transform_Sharpness_Index, Wavelet_W3)), mul(sub(mul(add(mul(sub(mul(add(Gradient_Squared_Energy, Wavelet_W1), mul(Fourier_Transform_Sharpness_Index, Curvelet_Transform_Sharpness_Index)), Wavelet_W1), psqrt(Gradient_Squared_Energy)), Wavelet_W1), mul(Wavelet_W1, psqrt(GLCM_Contrast))), Wavelet_W1), mul(Sum_Modified_Laplacian, Wavelet_W3)))",Gradient Squared Energy | Fourier Transform Sharpness Index | Wavelet W1 | Curvelet Transform Sharpness Index | Sum Modified Laplacian | Intensity Skewness Index | GLCM Contrast | Squared Gradient | Wavelet W3 | Fourier High Frequency Energy Ratio,outputs/05_gp_runs/folds/heldout_PBS/seed_48/best_result.json
lodo,PBS,PBS,,49,WBC | TBI | BMA | TBF,0.3056464907706135,,,0.17697842740088573,25.0,25,10,"add(mul(mul(Sum_Modified_Laplacian, mul(mul(Wavelet_W3, mul(Gradient_Squared_Energy, mul(mul(Wavelet_W3, mul(Gradient_Squared_Energy, mul(Fourier_Transform_Sharpness_Index, Fourier_Transform_Sharpness_Index))), psqrt(Fourier_Transform_Sharpness_Index)))), Wavelet_W3)), mul(Gradient_Squared_Energy, Squared_Gradient)), psqrt(Fourier_Transform_Sharpness_Index))",Gradient Squared Energy | Fourier Transform Sharpness Index | Wavelet W1 | Curvelet Transform Sharpness Index | Sum Modified Laplacian | Intensity Skewness Index | GLCM Contrast | Squared Gradient | Wavelet W3 | Fourier High Frequency Energy Ratio,outputs/05_gp_runs/folds/heldout_PBS/seed_49/best_result.json
lodo,PBS,PBS,,50,WBC | TBI | BMA | TBF,0.33060952539076854,,,0.17423112160573126,27.0,27,9,"add(mul(Squared_Gradient, psqrt(mul(mul(mul(Intensity_Skewness_Index, Sum_Modified_Laplacian), Curvelet_Transform_Sharpness_Index), mul(mul(GLCM_Contrast, mul(add(Wavelet_W1, mul(Curvelet_Transform_Sharpness_Index, Gradient_Squared_Energy)), psqrt(pdiv(GLCM_Contrast, Squared_Gradient)))), mul(Curvelet_Transform_Sharpness_Index, Fourier_Transform_Sharpness_Index))))), Fourier_Transform_Sharpness_Index)",Gradient Squared Energy | Fourier Transform Sharpness Index | Wavelet W1 | Curvelet Transform Sharpness Index | Sum Modified Laplacian | Intensity Skewness Index | GLCM Contrast | Squared Gradient | Wavelet W3 | Fourier High Frequency Energy Ratio,outputs/05_gp_runs/folds/heldout_PBS/seed_50/best_result.json
lodo,PBS,PBS,,51,WBC | TBI | BMA | TBF,0.32243790186428567,,,0.17373081202657054,23.0,23,7,"add(psqrt(Fourier_Transform_Sharpness_Index), mul(mul(mul(Fourier_Transform_Sharpness_Index, Wavelet_W1), mul(mul(mul(Squared_Gradient, mul(Squared_Gradient, Wavelet_W1)), psqrt(pdiv(Intensity_Skewness_Index, Intensity_Skewness_Index))), Squared_Gradient)), mul(Squared_Gradient, Curvelet_Transform_Sharpness_Index)))",Gradient Squared Energy | Fourier Transform Sharpness Index | Wavelet W1 | Curvelet Transform Sharpness Index | Sum Modified Laplacian | Intensity Skewness Index | GLCM Contrast | Squared Gradient | Wavelet W3 | Fourier High Frequency Energy Ratio,outputs/05_gp_runs/folds/heldout_PBS/seed_51/best_result.json
