test,statistic,p_value,critical_difference
overall_rank_friedman,136.71121507143718,3.1217517778266456e-15,7.092270289627993
accuracy_rank_friedman,95.80295640429206,1.5426549723579326e-08,22.427727896766523
union_overall_rank_friedman,243.24320063461093,5.183543063472964e-29,10.613311607552903
union_accuracy_rank_friedman,151.17512583086798,2.1118168617346973e-13,33.56223819697029
