dataset,measure_name,label_source_used,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
WBC,Tenengrad,gradient_free_surrogate,0.9478912039731502,4.553369805610522,0.2955417024122474,7.736817599813759,0.7121105959655512,0.3496294571838746,0.04908831987538122,0.10492427442965269,1.3655763783804757,0.00012308366014622153
WBC,Brenner Gradient,gradient_free_surrogate,0.9901059248050286,4.5066154502774225,0.3033744559390114,7.764210608000621,0.7310385934621579,0.35063826485081284,0.04864058597428688,0.1032533466631154,1.3567299111473248,5.230582901276649e-05
WBC,Variance of Laplacian,gradient_free_surrogate,1.6991037131882203,4.3572343149807935,0.35213599441075316,8.404376673262718,0.8375985995607935,0.1809645753307725,0.051955034803791794,0.09103817164534388,1.3158732006363247,0.00010221482254564762
WBC,Sum Modified Laplacian,gradient_free_surrogate,1.7316959608893028,4.42296201451131,0.3489472701844192,8.395957009273271,0.8290526165231101,0.18158538004888838,0.051331014390503554,0.09273634143579212,1.3228572537151282,0.00018918559304438535
WBC,Normalized Variance,gradient_free_surrogate,1.3328677297947464,5.454079851006868,0.053284812639325,8.450238621813526,0.23940924995460267,0.09878555077018586,0.01020539346063386,0.3396867939693199,2.5517401932254686,7.862915634177629e-05
WBC,Energy of Gradient,gradient_free_surrogate,0.9478912039731502,4.553369805610522,0.2955417024122474,7.736817599813759,0.7121105959655512,0.3496294571838746,0.04908831987538122,0.10492427442965269,1.3655763783804757,0.00011029260582290586
WBC,Histogram Entropy,gradient_free_surrogate,1.0853994490358128,6.334419741590036,0.14015448531058067,5.693167268071237,0.5000931589177301,0.575641174872929,0.08974214002073638,0.4162610186133967,1.9856438908935707,0.000313716260716319
WBC,GLCM Contrast,gradient_free_surrogate,1.0696465293136228,4.614713071819346,0.32193305126139243,7.629224382105304,0.7708479528317935,0.35145307104333995,0.061367806806808,0.014798200414115677,1.3623559539052497,0.012145223900442944
WBC,Variance of Gradient,gradient_free_surrogate,1.0313118379699686,4.81527179606565,0.26785824005007,8.064020486555698,0.6849858002584273,0.27420168393279787,0.04362881397986818,0.08506795120790041,1.4349513056299228,0.00012975467718206343
WBC,Fourier Transform Sharpness Index,gradient_free_surrogate,0.8958212082411826,5.388313351181469,0.21110388722832524,8.145229503744229,0.5306266844562975,0.25274512086291856,0.037372615681915765,0.12051700448379567,1.5490241725837117,0.0006130272871814667
WBC,Fourier High Frequency Energy Ratio,gradient_free_surrogate,1.3930469871571023,4.397470220773678,0.33874476676118725,8.32995770767858,0.8145360953641404,0.2065339696581694,0.05063726867477204,0.13057532806440517,1.3096651534551662,0.0007242671831045301
WBC,Roberts Focus Measure,gradient_free_surrogate,1.0404299072672953,4.463702324137664,0.3088146012285845,7.8689714041826715,0.7386049412922135,0.3280176929344663,0.04998750555326666,0.09900116624804563,1.345827028285415,0.00010739177581854163
WBC,Wavelet W1,gradient_free_surrogate,1.0615372676832344,4.91483335273348,0.3150329910228184,7.423156015985722,0.701353194763832,0.4457377876071858,0.05998655364037715,0.1266835252103095,1.3283280952935241,0.0003336055588442833
WBC,Wavelet W2,gradient_free_surrogate,1.0615372676832344,4.91483335273348,0.3150329910228184,7.423156015985722,0.701353194763832,0.4457377876071858,0.05998655364037715,0.1266835252103095,1.3283280952935241,0.0013940412527881567
WBC,Wavelet W3,gradient_free_surrogate,1.0615372676832344,4.91483335273348,0.3150329910228184,7.423156015985722,0.701353194763832,0.4457377876071858,0.05998655364037715,0.1266835252103095,1.3283280952935241,0.00044886598130688087
WBC,Wavelet Detail Energy (db1),gradient_free_surrogate,1.0615372676832344,4.9147945524385985,0.3150329751103948,7.423156015985722,0.7013531607975519,0.4457377876071858,0.059986545658552194,0.12668353925400103,1.3283668955884065,0.00039594411500729613
WBC,Curvelet Transform Sharpness Index,gradient_free_surrogate,1.0615372676832344,4.9147945524385985,0.3150329751103948,7.423156015985722,0.7013531607975519,0.4457377876071858,0.059986545658552194,0.12668353925400103,1.3283668955884065,0.0002913622139021754
WBC,DCT Focus Measure,gradient_free_surrogate,0.9284522562371474,5.448609009428472,0.18268169726741518,7.810111356846312,0.5131894077195415,0.2781981143056687,0.03182125634910844,0.1626832487602615,1.6668606681410778,0.000273752243956551
WBC,Intensity Skewness Index,gradient_free_surrogate,2.163853645287704,5.6295347844643615,0.03042394898996045,7.379699685717611,0.3229598022234587,0.21871726225119312,0.021082285445809746,0.0036785048740968066,2.3228960540100103,0.0004976006387732922
WBC,Squared Gradient,gradient_free_surrogate,0.9478912039731502,4.553369805610522,0.2955417024122474,7.736817599813759,0.7121105959655512,0.3496294571838746,0.04908831987538122,0.10492427442965269,1.3655763783804757,0.00012693122029304498
WBC,Gradient Squared Energy,gradient_free_surrogate,0.9478912039731502,4.553369805610522,0.2955417024122474,7.736817599813759,0.7121105959655512,0.3496294571838746,0.04908831987538122,0.10492427442965269,1.3655763783804757,9.327760199084878e-05
WBC,Mean Intensity,gradient_free_surrogate,5.840530788033989,4.846001629612385,0.07202906898485403,7.284056958832887,0.7673686572979944,0.07348775850696465,0.020221329066433025,0.7986001175163517,1.6948356807511737,4.0321637643501174e-05
WBC,Intensity Variance,gradient_free_surrogate,1.3375625654754977,5.4850812866177785,0.05212431459972523,8.442439762542195,0.2338108031100732,0.1009971675784736,0.010417184982193349,0.26391622627930134,2.5726535521669964,7.234038552269339e-05
WBC,Intensity Range Index,gradient_free_surrogate,1.8258254762736197,6.32894890001164,0.3621575855226902,5.735692391262174,0.9522736697596235,0.6691886858340124,0.1327716562082026,0.8858103527670221,1.4860512939898343,3.718615509569645e-05
WBC,Maximal Intensity,gradient_free_surrogate,1.222092887905948,8.970472975594614,0.05745451622172632,2.3175804136111435,0.15992755852960022,0.34039498700190124,0.36211992217685623,0.9002017010397799,5.605284600162961,2.3043983383104205e-05
WBC,Laplacian Energy,gradient_free_surrogate,1.6991037131882203,4.3572343149807935,0.3521362599637652,8.404376673262718,0.8375990072614047,0.1809645753307725,0.05195512037043407,0.09103830383927262,1.3158732006363247,0.0006366957817226648
WBC,Mean Absolute Laplacian,gradient_free_surrogate,1.6992977146626314,5.259612773057075,0.26685307471441716,8.159352811081364,0.6214763885478655,0.2525123190936251,0.04262238450698908,0.0799961833955224,1.4682419586388857,0.0006717405177187176
WBC,Spatial Frequency,gradient_free_surrogate,1.0673573119155706,4.925503433826097,0.2567590149339218,7.910177317347612,0.5984807753962746,0.3199084313040779,0.04744921866445069,0.09246524637814765,1.428704458153882,9.979528374969962e-05
WBC,Modified Tenengrad,gradient_free_surrogate,0.9643425290032204,4.581422418810383,0.29148753193349014,7.788033989058317,0.7076366118575915,0.33771776665502656,0.048385534147602556,0.10010193394393882,1.3768284638963255,0.0013738657964859162
WBC,Absolute Central Moment 2,gradient_free_surrogate,1.3375625654754977,5.4850812866177785,0.05212431459972523,8.442439762542195,0.2338108031100732,0.1009971675784736,0.010417184982193349,0.26391622627930134,2.5726535521669964,6.163475918583571e-05
WBC,Absolute Central Moment 4,gradient_free_surrogate,1.3370193613471462,5.285958173282117,0.07126017539383943,8.544756140146665,0.30341943468782107,0.11380126488961316,0.012171344184405826,0.3273164134393715,2.321654444573779,0.0005459836195223032
WBC,Image Power,gradient_free_surrogate,1.829589104877197,5.882163504442634,0.1302006474395108,7.110852442478563,0.832392962807353,0.3218872463430722,0.044904874200674294,0.47643599808965675,1.985178287354984,3.0880217673256985e-05
TBI,Tenengrad,gradient_free_surrogate,0.0,1.4333333333333333,1.3272020336431105,6.966666666666667,8.262597980658708,0.4,0.34008735023149955,1.384081889607209,1.0333333333333334,0.0264568065374624
TBI,Brenner Gradient,gradient_free_surrogate,0.0,1.6,1.2701260024603076,6.533333333333333,6.994079066750081,0.5,0.3243483310374589,1.4501808597282422,1.0666666666666667,0.014937578019453217
TBI,Variance of Laplacian,gradient_free_surrogate,1.9333333333333333,6.933333333333334,0.7169258530169412,3.4,1.8982525886546793,1.5666666666666667,0.475136405325979,0.8567249939155224,1.1666666666666667,0.019355407458497207
TBI,Sum Modified Laplacian,gradient_free_surrogate,1.9333333333333333,7.0,0.7109363071159053,3.466666666666667,1.8988350969571075,1.5333333333333334,0.4637007938020078,0.8635623907694069,1.1666666666666667,0.04344424758106472
TBI,Normalized Variance,gradient_free_surrogate,0.03333333333333333,3.033333333333333,0.7495617391246906,8.533333333333333,2.8675854410437513,0.03333333333333333,0.12108627082604508,0.5302936977163134,1.0333333333333334,0.019364787219092253
TBI,Energy of Gradient,gradient_free_surrogate,0.0,1.4333333333333333,1.3272020336431105,6.966666666666667,8.262597980658708,0.4,0.34008735023149955,1.384081889607209,1.0333333333333334,0.025376740621868527
