protocol,fold_or_scope,seed,population_size,num_generations,num_seeds,tournament_size,crossover_probability,mutation_probability,max_tree_depth,max_nodes,elitism,use_nsga2,device,max_eval_seconds,primary_objective,secondary_objective,result_json
lodo,BMA,45,500,100,10,3,0.5,0.2,10,35,1,True,cpu,30.0,corrected_generalization_score,expression_complexity,outputs/05_gp_runs/folds/heldout_BMA/seed_45/best_result.json
lodo,BMA,46,500,100,10,3,0.5,0.2,10,35,1,True,cpu,30.0,corrected_generalization_score,expression_complexity,outputs/05_gp_runs/folds/heldout_BMA/seed_46/best_result.json
lodo,BMA,47,500,100,10,3,0.5,0.2,10,35,1,True,cpu,30.0,corrected_generalization_score,expression_complexity,outputs/05_gp_runs/folds/heldout_BMA/seed_47/best_result.json
lodo,BMA,48,500,100,10,3,0.5,0.2,10,35,1,True,cpu,30.0,corrected_generalization_score,expression_complexity,outputs/05_gp_runs/folds/heldout_BMA/seed_48/best_result.json
lodo,BMA,49,500,100,10,3,0.5,0.2,10,35,1,True,cpu,30.0,corrected_generalization_score,expression_complexity,outputs/05_gp_runs/folds/heldout_BMA/seed_49/best_result.json
lodo,BMA,50,500,100,10,3,0.5,0.2,10,35,1,True,cpu,30.0,corrected_generalization_score,expression_complexity,outputs/05_gp_runs/folds/heldout_BMA/seed_50/best_result.json
lodo,BMA,51,500,100,10,3,0.5,0.2,10,35,1,True,cpu,30.0,corrected_generalization_score,expression_complexity,outputs/05_gp_runs/folds/heldout_BMA/seed_51/best_result.json
lodo,PBS,42,500,100,10,3,0.5,0.2,10,35,1,True,cpu,30.0,corrected_generalization_score,expression_complexity,outputs/05_gp_runs/folds/heldout_PBS/seed_42/best_result.json
lodo,PBS,43,500,100,10,3,0.5,0.2,10,35,1,True,cpu,30.0,corrected_generalization_score,expression_complexity,outputs/05_gp_runs/folds/heldout_PBS/seed_43/best_result.json
lodo,PBS,44,500,100,10,3,0.5,0.2,10,35,1,True,cpu,30.0,corrected_generalization_score,expression_complexity,outputs/05_gp_runs/folds/heldout_PBS/seed_44/best_result.json
lodo,PBS,45,500,100,10,3,0.5,0.2,10,35,1,True,cpu,30.0,corrected_generalization_score,expression_complexity,outputs/05_gp_runs/folds/heldout_PBS/seed_45/best_result.json
lodo,PBS,46,500,100,10,3,0.5,0.2,10,35,1,True,cpu,30.0,corrected_generalization_score,expression_complexity,outputs/05_gp_runs/folds/heldout_PBS/seed_46/best_result.json
lodo,PBS,47,500,100,10,3,0.5,0.2,10,35,1,True,cpu,30.0,corrected_generalization_score,expression_complexity,outputs/05_gp_runs/folds/heldout_PBS/seed_47/best_result.json
lodo,PBS,48,500,100,10,3,0.5,0.2,10,35,1,True,cpu,30.0,corrected_generalization_score,expression_complexity,outputs/05_gp_runs/folds/heldout_PBS/seed_48/best_result.json
lodo,PBS,49,500,100,10,3,0.5,0.2,10,35,1,True,cpu,30.0,corrected_generalization_score,expression_complexity,outputs/05_gp_runs/folds/heldout_PBS/seed_49/best_result.json
