family,measure_a,measure_b,n,valid,statistic,p_raw,p_holm,delta_mean,delta_median,rank_biserial,note
single_overall_rank,Absolute Central Moment 2,Absolute Central Moment 4,50,True,517.5,0.8118304674585772,1.0,0.71,0.0,0.0425531914893617,
single_overall_rank,Absolute Central Moment 2,Brenner Gradient,50,True,310.5,0.001235703558341683,0.5181393813190027,-6.66,-10.5,-0.5129411764705882,
single_overall_rank,Absolute Central Moment 2,Curvelet Transform Sharpness Index,50,True,595.5,0.8669180465036916,1.0,-0.51,-5.5,-0.027755102040816326,
single_overall_rank,Absolute Central Moment 2,DCT Focus Measure,50,True,469.5,0.2264523670066012,1.0,-1.66,-2.5,-0.20153061224489796,
single_overall_rank,Absolute Central Moment 2,Energy of Gradient,50,True,297.5,0.0013426407861949485,0.5585385670570986,-6.44,-11.0,-0.5142857142857142,
single_overall_rank,Absolute Central Moment 2,Fourier High Frequency Energy Ratio,50,True,523.0,0.3792472495957817,1.0,-2.17,-2.5,-0.14612244897959184,
single_overall_rank,Absolute Central Moment 2,Fourier Transform Sharpness Index,50,True,481.5,0.1329605561585705,1.0,-2.53,-5.75,-0.2447058823529412,
single_overall_rank,Absolute Central Moment 2,GLCM Contrast,50,True,633.0,0.969474172425139,1.0,0.1,0.0,0.007058823529411765,
single_overall_rank,Absolute Central Moment 2,Gradient Squared Energy,50,True,290.5,0.0010259586218275274,0.43669944306101627,-6.7,-11.5,-0.5257142857142857,
single_overall_rank,Absolute Central Moment 2,Histogram Entropy,50,True,417.5,0.033687793845592395,1.0,2.64,4.5,0.34509803921568627,
single_overall_rank,Absolute Central Moment 2,Image Power,50,True,585.5,0.6253677971440439,1.0,0.76,2.5,0.0815686274509804,
single_overall_rank,Absolute Central Moment 2,Intensity Range Index,50,True,572.5,0.5335711137818162,1.0,-0.85,-2.5,-0.10196078431372549,
single_overall_rank,Absolute Central Moment 2,Intensity Skewness Index,50,True,620.0,0.8707939059443142,1.0,-0.78,3.5,0.027450980392156862,
single_overall_rank,Absolute Central Moment 2,Intensity Variance,50,True,1.0,0.125,1.0,-0.22,0.0,-0.8666666666666667,
single_overall_rank,Absolute Central Moment 2,Laplacian Energy,50,True,626.0,0.916185835362695,1.0,-0.65,4.25,-0.01803921568627451,
single_overall_rank,Absolute Central Moment 2,Maximal Intensity,50,True,591.0,0.8359996951418118,1.0,0.55,1.5,0.03510204081632653,
single_overall_rank,Absolute Central Moment 2,Mean Absolute Laplacian,50,True,563.5,0.4843032319103049,1.0,1.35,4.5,0.11607843137254902,
single_overall_rank,Absolute Central Moment 2,Mean Intensity,50,True,635.0,0.9847343420165711,1.0,-0.07,0.0,0.00392156862745098,
single_overall_rank,Absolute Central Moment 2,Modified Tenengrad,50,True,427.0,0.0654047554918229,1.0,-5.38,-12.0,-0.3028571428571429,
single_overall_rank,Absolute Central Moment 2,Normalized Variance,50,True,397.0,0.5034516150917625,1.0,-0.51,-0.5,-0.12070874861572536,
single_overall_rank,Absolute Central Moment 2,Roberts Focus Measure,50,True,326.5,0.006524645314890165,1.0,-4.86,-9.0,-0.4447278911564626,
single_overall_rank,Absolute Central Moment 2,Spatial Frequency,50,True,373.5,0.016490706021031087,1.0,-3.3,-6.5,-0.3902040816326531,
single_overall_rank,Absolute Central Moment 2,Squared Gradient,50,True,293.0,0.001152311848784393,0.4856024061331823,-6.66,-11.5,-0.5216326530612245,
single_overall_rank,Absolute Central Moment 2,Sum Modified Laplacian,50,True,619.5,0.8632650227005474,1.0,-1.08,4.5,-0.02823529411764706,
single_overall_rank,Absolute Central Moment 2,Tenengrad,50,True,299.0,0.00144806584463808,0.5908108646123367,-6.22,-11.0,-0.5118367346938776,
single_overall_rank,Absolute Central Moment 2,Variance of Gradient,50,True,302.0,0.0016202333696035964,0.6594349814286637,-6.67,-10.5,-0.506938775510204,
